Species	Symbol	Ensembl	Family	Entrez ID
Mus_musculus	Scmh1	ENSMUSG00000000085	Others	29871
Mus_musculus	Trim25	ENSMUSG00000000275	Tripartite motif	217069
Mus_musculus	Raf1	ENSMUSG00000000441	Others	110157
Mus_musculus	Wdr77	ENSMUSG00000000561	WD	70465
Mus_musculus	Hnrnpd	ENSMUSG00000000568	HNRNP	11991
Mus_musculus	C1d	ENSMUSG00000000581	Other_Co-activator/repressors	57316
Mus_musculus	Loxl3	ENSMUSG00000000693	Others	16950
Mus_musculus	Btn1a1	ENSMUSG00000000706	Others	12231
Mus_musculus	Kat2b	ENSMUSG00000000708	Lysine acetyltransferase	18519
Mus_musculus	Chmp1a	ENSMUSG00000000743	Others	234852
Mus_musculus	Smarcb1	ENSMUSG00000000902	SWI/SNF	20587
Mus_musculus	Top1mt	ENSMUSG00000000934	Other_CRF	72960
Mus_musculus	Ilf2	ENSMUSG00000001016	Others	67781
Mus_musculus	Chtop	ENSMUSG00000001017	Others	66511
Mus_musculus	Lgals9	ENSMUSG00000001123	Others	16859
Mus_musculus	Uxt	ENSMUSG00000001134	Others	22294
Mus_musculus	Slc26a3	ENSMUSG00000001225	SLC	13487
Mus_musculus	Pfdn5	ENSMUSG00000001289	Others	56612
Mus_musculus	Snd1	ENSMUSG00000001424	Others	56463
Mus_musculus	Slc19a1	ENSMUSG00000001436	SLC	20509
Mus_musculus	Nrip2	ENSMUSG00000001520	Nuclear coactivator	60345
Mus_musculus	Gtf2h4	ENSMUSG00000001524	GTF	14885
Mus_musculus	Ell2	ENSMUSG00000001542	GTF	192657
Mus_musculus	Jup	ENSMUSG00000001552	Others	16480
Mus_musculus	Kmt2a	ENSMUSG00000002028	Lysine methyltransferase	214162
Mus_musculus	Supt6	ENSMUSG00000002052	SUPT	20926
Mus_musculus	Ccne1	ENSMUSG00000002068	Cyclin	12447
Mus_musculus	Daxx	ENSMUSG00000002307	Other_CRF	13163
Mus_musculus	Dyrk1b	ENSMUSG00000002409	Others	13549
Mus_musculus	Hltf	ENSMUSG00000002428	Others	20585
Mus_musculus	Prpf6	ENSMUSG00000002455	Others	68879
Mus_musculus	Puf60	ENSMUSG00000002524	Others	67959
Mus_musculus	Tgfb1	ENSMUSG00000002603	Others	21803
Mus_musculus	Gtf2f1	ENSMUSG00000002658	GTF	98053
Mus_musculus	Med6	ENSMUSG00000002679	Mediator complex	69792
Mus_musculus	Baz1b	ENSMUSG00000002748	Bromodomain	22385
Mus_musculus	Flii	ENSMUSG00000002812	Others	14248
Mus_musculus	Nab1	ENSMUSG00000002881	Others	17936
Mus_musculus	Med25	ENSMUSG00000002968	Mediator complex	75613
Mus_musculus	Cdkn1b	ENSMUSG00000003031	Cyclin	12576
Mus_musculus	Cdk12	ENSMUSG00000003119	Cyclin	69131
Mus_musculus	Cnot11	ENSMUSG00000003135	CCR4-NOT	52846
Mus_musculus	Dvl3	ENSMUSG00000003233	Others	13544
Mus_musculus	Hck	ENSMUSG00000003283	Others	15162
Mus_musculus	Pih1d1	ENSMUSG00000003423	Other_CRF	68845
Mus_musculus	Supt5	ENSMUSG00000003435	SUPT	20924
Mus_musculus	Paf1	ENSMUSG00000003437	Others	54624
Mus_musculus	Med29	ENSMUSG00000003444	Mediator complex	67224
Mus_musculus	Crtc1	ENSMUSG00000003575	CREB	382056
Mus_musculus	Taf6l	ENSMUSG00000003680	TATA-box	225895
